services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
auto share,2024-07-20,18:58:20,completed,Jayanagar 5th Block East,JP Nagar Phase 7,48,RD4048199337500903,14.39,254.33,13.27,267.6,Amazon Pay
bike lite,2024-06-27,12:30:20,completed,Varthur,Brigade Road Richmond Road,16,RD2585194006164485,14.39,290.09,0.78,290.86999999999995,Amazon Pay
parcel,2024-06-25,12:07:20,completed,Brigade Road Richmond Road,Jayanagar 3rd Block East,73,RD6075908218823729,25.81,158.15,10.38,168.53,QR scan
cab premium,2024-06-30,11:07:20,cancelled,Jayanagar 3rd Block,Brigade Road Richmond Road,59,RD3479312129716837,4.25,,,,
cab premium,2024-07-17,18:06:20,cancelled,Nagarbhavi,Koramangala Central,56,RD1971778810475271,2.02,,,,
auto share,2024-07-14,18:38:20,completed,JP Nagar 5th Phase,Jayanagar 3rd Block,10,RD6435025620306810,30.27,89.89,39.26,129.15,Cash
bike,2024-07-03,00:34:20,cancelled,Hebbal Ganganagar,Indiranagar 9th Stage,82,RD1500747400605763,38.18,,,,
cab economy,2024-06-29,04:35:20,cancelled,JP Nagar Phase 4,Whitefield North,25,RD5093567243527192,40.86,,,,
auto,2024-07-08,22:12:20,cancelled,Ganganagar,JP Nagar West,70,RD1457667541589290,34.03,,,,
bike lite,2024-06-28,14:04:20,cancelled,Whitefield East,Queens Road,35,RD6932604528429735,38.8,,,,
parcel,2024-07-06,17:47:20,cancelled,Koramangala 4th Block,JP Nagar Phase 6,77,RD3359072215434542,11.23,,,,
cab economy,2024-07-22,21:35:20,cancelled,Indiranagar 6th Stage,Whitefield West,86,RD3969468690191404,6.0,,,,
parcel,2024-07-17,08:49:20,completed,Ulsoor,Majestic,68,RD8293571456553482,2.02,458.03,14.88,472.90999999999997,GPay
bike,2024-06-23,01:39:20,completed,Marathahalli,Sadashivanagar,68,RD2617148786710536,23.45,89.3,5.64,94.94,GPay
cab economy,2024-07-18,07:45:20,cancelled,JP Nagar West,Murphy Town,95,RD3414242819961910,38.57,,,,
bike lite,2024-06-26,00:19:20,cancelled,Malleshwaram 1st Block,Jayanagar 10th Block East,49,RD2507868648640010,49.89,,,,
parcel,2024-07-01,08:09:20,cancelled,Bellandur,Manyata Tech Park,95,RD9881318357874603,32.05,,,,
auto,2024-06-27,04:59:20,cancelled,MG Road Anil Kumble Circle,Marathahalli South,100,RD6194290240187220,42.57,,,,
cab premium,2024-07-01,14:54:20,cancelled,JP Nagar,Basavanagudi,14,RD7971675654639552,5.67,,,,
auto share,2024-06-24,18:55:20,cancelled,HSR Layout Sector 8 South,Marathahalli Outer Ring Road,91,RD8607834188449885,9.3,,,,
auto share,2024-07-21,23:36:20,completed,MG Road Anil Kumble Circle,Banashankari 5th Stage,112,RD4438704388822386,5.45,543.82,21.45,565.2700000000001,phonePy
auto,2024-07-11,05:21:20,completed,HSR Layout Central,MG Road Cubbon Park,14,RD8003392219200695,7.07,583.62,1.24,584.86,Amazon Pay
bike,2024-07-17,16:21:20,cancelled,HSR Layout South,Indiranagar,101,RD1765339811776464,25.13,,,,
cab economy,2024-07-10,19:56:20,cancelled,Jayanagar 1st Block East,Jayanagar 5th Block,43,RD2706620271293187,44.73,,,,
cab economy,2024-07-20,05:41:20,cancelled,Basavanagudi,Malleshwaram 9th Block,16,RD9421321738915967,45.46,,,,
auto,2024-07-02,19:33:20,completed,Koramangala Central,Hebbal Sanjay Nagar,20,RD9884768936823403,1.09,781.84,12.02,793.86,Amazon Pay
auto,2024-07-01,18:31:20,completed,HSR Layout Sector 4 North,Vijayanagar,74,RD4343340463328372,27.51,869.62,18.18,887.8,Cash
cab economy,2024-07-03,16:13:20,cancelled,Indiranagar,Victoria Layout,91,RD2905524228001038,3.17,,,,
bike,2024-06-23,21:16:20,completed,Ashok Nagar,HSR Layout Sector 1,7,RD3862156511291074,5.9,989.37,2.42,991.79,GPay
parcel,2024-07-05,20:16:20,completed,Whitefield Borewell Road,BTM Layout 4th Stage,16,RD5149848355376920,36.96,790.37,19.11,809.48,Cash
parcel,2024-07-07,17:32:20,cancelled,Palace Guttahalli,Koramangala 8th Block,45,RD5724060474472759,23.17,,,,
auto share,2024-06-27,17:26:20,cancelled,Marathahalli Main Road,JP Nagar Phase 4,32,RD4860025010962057,8.43,,,,
cab premium,2024-07-14,21:29:20,cancelled,Malleshwaram 3rd Block,Malleshwaram,112,RD2584235576384537,46.14,,,,
cab premium,2024-07-14,07:43:20,cancelled,HAL,Lavelle Road,97,RD5650117043084245,5.16,,,,
auto share,2024-07-11,16:02:20,cancelled,BTM Layout 2nd Stage,Malleshwaram North,68,RD8391789309789774,15.85,,,,
bike,2024-07-13,16:08:20,cancelled,HSR Layout Central,HSR Layout,118,RD5482626590893241,46.3,,,,
bike,2024-06-30,10:38:20,completed,JP Nagar 9th Phase,BTM Layout 2nd Stage,13,RD9214178661557421,15.28,757.79,12.68,770.4699999999999,Amazon Pay
bike lite,2024-07-04,17:21:20,cancelled,JP Nagar 1st Phase,Brigade Road Garuda Mall,108,RD5171735032286308,3.25,,,,
cab economy,2024-07-18,19:58:20,completed,Indiranagar Central,Benson Town,26,RD5406244976480714,39.01,904.62,43.82,948.44,Cash
bike lite,2024-07-09,09:00:20,cancelled,Malleshwaram 3rd Block,Cubbon Park,12,RD2416718470117831,34.95,,,,
bike lite,2024-07-14,07:05:20,cancelled,Hebbal,JP Nagar Phase 3,52,RD1197448426133464,21.88,,,,
auto share,2024-07-16,19:56:20,cancelled,JP Nagar South,HSR Layout Sector 3 North,39,RD5951613507979034,29.14,,,,
bike,2024-07-12,06:04:20,cancelled,HSR Layout Sector 8,Whitefield ECC Road,61,RD4153506879874299,45.17,,,,
bike,2024-07-18,17:01:20,cancelled,Jayanagar 9th Block East,HSR Layout Sector 8,79,RD3568024568383186,48.22,,,,
auto share,2024-07-09,07:37:20,cancelled,Rajajinagar,Malleshwaram North,7,RD6946627722735507,5.79,,,,
parcel,2024-07-20,19:51:20,completed,Whitefield Borewell Road,Banashankari 1st Stage,86,RD6353599790148110,32.58,611.84,45.51,657.35,Paytm
cab economy,2024-07-18,18:05:20,completed,Hebbal Vidyaranyapura,Electronic City West,18,RD7800123365461746,7.39,193.1,3.46,196.56,Paytm
bike,2024-07-06,21:22:20,completed,Palace Guttahalli,Hoskote,100,RD8835703522163227,12.21,728.9,32.03,760.93,QR scan
cab premium,2024-07-03,19:40:20,cancelled,Kalyan Nagar,Hebbal Kodigehalli,14,RD5324675215406602,38.75,,,,
bike,2024-07-19,11:37:20,cancelled,JP Nagar Phase 5,JP Nagar 7th Phase,37,RD9092631600970627,12.72,,,,
bike lite,2024-06-25,18:53:20,cancelled,Hebbal Byatarayanapura,Bagmane Tech Park,20,RD1349179372960543,9.15,,,,
auto,2024-07-13,07:28:20,completed,HSR Layout Sector 9 South,Whitefield Central,101,RD5355323726317196,28.47,557.05,18.79,575.8399999999999,phonePy
auto,2024-07-16,19:39:20,completed,Jayanagar 4th Block,Kadubeesanahalli,59,RD7051264847188668,8.43,991.6,14.53,1006.13,phonePy
auto,2024-07-04,23:47:20,cancelled,Whitefield Central,JP Nagar Phase 6,23,RD3412407406140938,1.75,,,,
bike lite,2024-06-25,03:13:20,cancelled,Murphy Town,Banashankari 2nd Stage,80,RD8686622783799574,11.76,,,,
auto share,2024-07-12,17:12:20,completed,Jayanagar 4th Block East,Magadi Road,50,RD6949371093253831,25.54,71.67,26.72,98.39,QR scan
auto share,2024-07-15,07:40:20,cancelled,BTM Layout 4th Stage,Brigade Road Central,72,RD1988906340466510,36.45,,,,
cab economy,2024-07-14,17:24:20,completed,Hebbal Amruthahalli,HSR Layout Sector 1,75,RD6650983444982041,36.04,756.99,6.73,763.72,phonePy
cab economy,2024-07-16,00:05:20,cancelled,Brigade Road North,HSR Layout,105,RD2378857216212097,15.32,,,,
auto share,2024-07-10,22:35:20,completed,HSR Layout Sector 6 North,Malleshwaram East,61,RD4457268130515269,39.64,277.71,35.43,313.14,QR scan
auto share,2024-07-04,06:56:20,cancelled,Marathahalli North,Queens Road,49,RD5455500618327231,13.17,,,,
cab economy,2024-07-09,16:52:20,cancelled,HSR Layout Sector 6 North,JP Nagar 7th Phase,48,RD2644988263753798,18.56,,,,
cab economy,2024-07-21,23:12:20,cancelled,Malleshwaram East,Koramangala North,102,RD6830707695213078,28.58,,,,
parcel,2024-07-15,16:51:20,cancelled,Brigade Road Eva Mall,Brigade Road Richmond Road,65,RD2778846760757174,1.52,,,,
cab premium,2024-06-29,10:22:20,completed,Hoskote,Richmond Road,60,RD2936756505015261,36.82,634.7,14.36,649.0600000000001,QR scan
auto share,2024-07-10,13:33:20,cancelled,MG Road South,JP Nagar Phase 5,56,RD8417521659772110,31.74,,,,
cab premium,2024-07-03,19:12:20,completed,MG Road Garuda Mall,Whitefield Immadihalli,39,RD6145512371806371,46.1,647.76,46.83,694.59,phonePy
auto,2024-07-09,04:09:20,completed,JP Nagar Central,Hebbal Kodigehalli,117,RD7329609331733432,11.17,196.37,11.37,207.74,GPay
cab premium,2024-06-30,06:13:20,completed,HSR Layout Sector 4 North,Marathahalli Main Road,54,RD3364550840575004,14.13,581.02,48.3,629.3199999999999,phonePy
auto,2024-06-24,18:11:20,completed,Jayanagar 7th Block East,Jayanagar 6th Block East,70,RD5764777076810820,10.04,657.34,40.63,697.97,Cash
cab economy,2024-06-27,12:28:20,completed,Brigade Road Residency Road,HSR Layout Sector 5 South,15,RD2497533296035613,40.53,856.41,5.56,861.9699999999999,Amazon Pay
bike lite,2024-07-05,00:04:20,cancelled,Electronic City North,JP Nagar Central,63,RD7639811691370683,40.98,,,,
parcel,2024-07-05,02:20:20,completed,BTM Layout 4th Stage,St. Marks Road,18,RD4083806193614910,39.05,767.84,27.45,795.2900000000001,Paytm
cab premium,2024-07-09,11:01:20,completed,Lalbagh,HSR Layout Sector 2,89,RD5716404360096097,47.21,341.96,1.34,343.29999999999995,phonePy
cab economy,2024-06-23,18:55:20,cancelled,JP Nagar 9th Phase,Marathahalli Outer Ring Road,70,RD5817993478192993,47.02,,,,
bike lite,2024-07-06,19:59:20,cancelled,Indiranagar 6th Stage,Nagarbhavi 2nd Stage,90,RD3167676408489113,48.78,,,,
cab premium,2024-07-21,22:43:20,cancelled,JP Nagar Phase 2,Bellandur,87,RD8178068598239535,10.56,,,,
cab premium,2024-07-06,21:26:20,cancelled,Richmond Town,Electronic City Phase 3,34,RD2437411324653983,21.85,,,,
auto,2024-06-23,11:51:20,completed,Whitefield,Bagmane Tech Park,52,RD2992338701991398,8.98,242.7,4.51,247.20999999999998,Amazon Pay
auto share,2024-07-08,13:27:20,completed,Hebbal West,Cunningham Road,25,RD5481834903793502,33.71,376.87,20.89,397.76,QR scan
parcel,2024-07-02,16:33:20,completed,JP Nagar Phase 2,MG Road Central,64,RD7224106538369400,27.38,422.83,29.24,452.07,Cash
auto share,2024-07-22,22:02:20,completed,Brigade Road Eva Mall,Shivajinagar,13,RD7501902011752290,31.17,442.63,41.79,484.42,QR scan
auto share,2024-06-26,10:15:20,cancelled,Banashankari 9th Stage,Whitefield Kadugodi,82,RD9994671530647158,36.68,,,,
auto share,2024-07-05,14:53:20,completed,Jayanagar 8th Block East,Whitefield,100,RD3777504951598073,3.32,858.68,45.56,904.24,Cash
bike lite,2024-07-01,05:30:20,cancelled,Koramangala East,HSR Layout West,36,RD8384616950640227,46.92,,,,
auto,2024-07-05,23:10:20,completed,Varthur,Nandini Layout,96,RD6344858816647282,11.26,500.32,36.72,537.04,QR scan
auto,2024-07-11,23:34:20,cancelled,Jayanagar 8th Block East,HSR Layout Sector 6 South,36,RD8256529892496903,34.01,,,,
bike lite,2024-07-07,22:33:20,completed,Rajajinagar 1st Block,Malleshwaram 10th Block,37,RD4372682966571094,20.9,101.17,20.87,122.04,QR scan
cab economy,2024-07-11,13:18:20,completed,Brigade Road Bangalore Central,Chamarajpet,88,RD4821922823402681,26.61,289.72,45.48,335.20000000000005,QR scan
bike,2024-07-22,11:59:20,completed,HSR Layout Central,MG Road Symphony Theatre,27,RD7410093521221256,42.83,105.07,3.23,108.3,QR scan
cab economy,2024-07-08,16:55:20,completed,MG Road,HSR Layout Sector 1,53,RD4495609654225925,4.39,524.61,45.5,570.11,phonePy
bike,2024-07-20,01:21:20,cancelled,Sahakar Nagar,Rajajinagar 8th Block,79,RD2623463565384218,39.16,,,,
cab premium,2024-07-01,18:04:20,cancelled,Hebbal North,HSR Layout Sector 9,24,RD5157852837903493,14.52,,,,
cab economy,2024-07-11,14:19:20,completed,Sanjay Nagar,Kammanahalli,52,RD7504862414051662,15.28,842.75,38.21,880.96,phonePy
cab economy,2024-07-09,12:02:20,completed,Residency Road,Marathahalli Outer Ring Road,6,RD3822043378626205,30.53,738.62,3.15,741.77,phonePy
parcel,2024-06-30,21:06:20,completed,Vasanth Nagar,Rajajinagar 7th Block,117,RD9428159391588541,9.98,563.31,11.41,574.7199999999999,QR scan
parcel,2024-07-05,21:21:20,completed,Bellandur,Jayanagar 1st Block East,102,RD4677344096984842,44.92,60.27,17.17,77.44,Paytm
bike,2024-07-16,00:42:20,completed,Indiranagar North,HSR Layout Sector 8 North,71,RD6439553034092298,18.63,159.87,34.67,194.54000000000002,Cash
cab economy,2024-07-15,00:14:20,completed,HSR Layout Sector 5 North,Commercial Street,99,RD4641420323236781,43.24,790.41,12.89,803.3,QR scan
parcel,2024-06-25,06:12:20,completed,Victoria Layout,Magadi Road,55,RD5273970947623024,22.69,488.61,16.88,505.49,Amazon Pay
cab premium,2024-07-01,00:19:20,cancelled,Marathahalli Main Road,JP Nagar 6th Phase,53,RD4034196013153285,35.57,,,,
parcel,2024-07-10,19:25:20,completed,Victoria Layout,Rajajinagar 6th Block,45,RD1303684197504388,18.96,695.34,26.92,722.26,Paytm
auto,2024-06-24,19:06:20,cancelled,Jayanagar 4th Block,Malleshwaram 1st Block,82,RD5302988550129951,49.12,,,,
cab economy,2024-06-30,19:05:20,completed,HSR Layout Sector 8 South,Nagarbhavi 2nd Stage,106,RD7598580075936461,7.72,391.92,44.85,436.77000000000004,phonePy
bike lite,2024-07-18,11:54:20,cancelled,Brigade Road East,Murphy Town,16,RD3907047012844456,18.72,,,,
bike,2024-06-29,15:26:20,cancelled,Jayanagar 1st Block East,Marathahalli West,70,RD8738239019164479,33.46,,,,
auto,2024-07-09,10:06:20,completed,Indiranagar South,Vasanth Nagar,60,RD5490823670023627,27.37,69.32,26.14,95.46,Amazon Pay
parcel,2024-07-20,15:54:20,cancelled,HSR Layout Sector 10,Koramangala 3rd Block,35,RD9378097884552490,36.98,,,,
bike lite,2024-06-25,19:00:20,completed,HSR Layout Sector 6,Malleshwaram 3rd Block,11,RD8147360144492793,15.38,549.35,41.95,591.3000000000001,phonePy
auto share,2024-06-27,10:04:20,completed,BTM Layout,JP Nagar 2nd Phase,18,RD3625182524998145,13.36,70.49,11.18,81.66999999999999,Paytm
auto,2024-07-10,09:11:20,cancelled,Bagmane Tech Park,Panathur,45,RD8855005002920706,18.85,,,,
auto share,2024-07-03,22:19:20,cancelled,Electronic City Phase 1,Vidyaranyapura,52,RD3876668257212123,37.17,,,,
cab premium,2024-06-30,20:30:20,completed,JP Nagar West,Sadashivanagar,28,RD2299408789889155,7.19,91.18,35.86,127.04,Cash
cab premium,2024-07-22,02:38:20,cancelled,Bagmane Tech Park,JP Nagar 3rd Phase,118,RD4737189565007864,13.01,,,,
cab economy,2024-07-18,20:01:20,completed,Indiranagar 4th Stage,MG Road North,54,RD3075510851054626,19.91,531.77,27.38,559.15,Amazon Pay
cab premium,2024-07-05,09:14:20,cancelled,Marathahalli Ring Road,HSR Layout Sector 8 South,35,RD9245422920156832,40.92,,,,
bike,2024-07-12,23:39:20,completed,Rajajinagar 1st Block,JP Nagar 7th Phase,15,RD9099301899877169,40.38,254.42,47.6,302.02,QR scan
auto,2024-06-28,09:10:20,cancelled,JP Nagar 2nd Phase,St. Marks Road,6,RD2653458477784912,1.25,,,,
bike lite,2024-07-08,18:02:20,completed,Whitefield ECC Road,HSR Layout Sector 8 North,25,RD7444096829248184,44.52,170.85,4.51,175.35999999999999,QR scan
parcel,2024-07-16,15:01:20,completed,Yelahanka,Koramangala 9th Block,71,RD3288225124281612,28.28,401.16,41.25,442.41,phonePy
parcel,2024-07-03,06:27:20,cancelled,Brigade Road Brigade Gateway,Koramangala West,78,RD3017783750878821,49.03,,,,
cab economy,2024-07-02,00:41:20,completed,Indiranagar 7th Stage,KR Puram,107,RD4316332027762841,11.43,835.61,27.66,863.27,Paytm
auto,2024-06-24,16:51:20,cancelled,Indiranagar Central,HSR Layout Sector 4 North,112,RD8138945703791231,43.12,,,,
bike,2024-07-04,01:16:20,completed,Malleshwaram 2nd Block,Electronic City West,56,RD4693888901373021,16.78,841.71,16.53,858.24,Amazon Pay
auto,2024-07-03,19:56:20,cancelled,Jayanagar 6th Block,Electronic City,77,RD6274990932709584,15.63,,,,
auto,2024-07-23,06:17:20,cancelled,Nagarbhavi,Cubbon Road,91,RD1486456881695750,13.1,,,,
cab economy,2024-07-04,12:26:20,completed,Electronic City Phase 3,Whitefield Central,49,RD2910974580295357,22.96,898.56,14.94,913.5,Paytm
bike,2024-07-15,09:42:20,completed,Brigade Road Mayo Hall,Brigade Road Garuda Mall,25,RD1208961389701133,41.39,312.81,5.13,317.94,QR scan
bike lite,2024-07-06,22:11:20,completed,Palace Guttahalli,Indiranagar West,87,RD9187139997311707,33.8,693.54,26.58,720.12,Amazon Pay
cab economy,2024-06-24,23:02:20,completed,Malleshwaram 4th Block,Brigade Road Residency Road,98,RD9397910577881031,47.17,576.77,15.47,592.24,Cash
auto,2024-06-29,05:16:20,completed,Banashankari 4th Stage,JP Nagar 1st Phase,34,RD4468193800171229,14.51,719.91,45.68,765.5899999999999,Cash
cab economy,2024-06-28,11:59:20,cancelled,Brigade Road Richmond Road,Electronic City Phase 3,20,RD8164293380028310,18.38,,,,
bike,2024-06-26,02:02:20,completed,Koramangala 4th Block,Malleshwaram West,97,RD8513504143187331,48.56,514.38,35.13,549.51,phonePy
auto share,2024-06-29,23:03:20,cancelled,Seshadripuram,Indiranagar 10th Stage,45,RD2781857178262270,28.73,,,,
